I understand. I would like to assist you. We would need to get you into a private secured link to further assist.	specific
and how do you propose we do that	specific
I have sent several private messages and no one is responding as usual	specific
Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.	specific
I did.	specific
Can you please send us a private message, so that I can gain further details about your account?	specific
is the worst customer service	specific
This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC	specific
You gonna magically change your connectivity for me and my whole family ? 🤥	specific
We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA	specific
Since I signed up with you....Since day	specific
H there! We'd definitely like to work with you on this, how long have you been eeriencing this issue? -AA	specific
y’all lie about your “great” connection. bars LTE, still won’t load something. Smh.	specific
Please send me a private message so that I can send you the link to access your account. -FR	specific
whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the years I've tried	specific
What information is incorrect? ^JK	specific
Would you like me to email you a copy of one since Spectrum is not updating your training?	specific
Our department is part of the corporate office. If you're particular area has gone to this format, we were unawa...	specific
I received this from your corporate office would you like a copy?	specific
No thank you. ^JK	specific
The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office	specific
That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information	specific
The information pertaining to the account assumption is correct. This does need to be done at a local outlet wit...	specific
actually that's a broken link you sent me and incorrect information	specific
Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG	specific
Yo , your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!	specific
I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct or phone ? -JB	specific
My picture on pretty much every day. Why should I pay $171 per month?	specific
Help has arrived! We are sorry to see that you are having trouble. How can we help? ^HSB	specific
I finally got someone that helped me, thanks!	specific
Awesome! If you ever need us we are just a tweet away. ^HSB	specific
somebody from please help meeeeee I'm having the worst luck with your customer service	specific
Have your friend message us. ^ACM	specific
My friend is without internet we need to play videogames together please our skills diminish every moment without internetz	specific
Please follow and DM us so that we can look into this order. ^HSB	specific
What else can I provide? They refuse to help me because they cannot validate the account...	specific
We would not be able to verify anything without authenticating your account. ^JAY	specific
How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?	specific
We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. ^HSB	specific
MD. And this was sent to the wrong address	specific
Hello Duke, Do you have a copy of your bill? What state are your services located in? ^NHP	specific
Nobody can find my account or number. I walked out of a store with this. I've elained that they can find my acct via my devices serial ..	specific
Are you referring to wireless or residential service? ^JAY	specific
tried to pay a bill for days. No service, rude CS, and several transfers. Look up my equipment and give me an acct !	specific
Is the light on top red? ^JAY	specific
Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet	specific
Did the lights change on the router when this happened? ^JAY	specific
Just randomly boots me offline there it goes again	specific
Do you have our Fios service? When services go out, does the internet light on the router change color? ^BCW	specific
Yep	specific
Are all your services cutting out? ^ACM	specific
Cuts out every minutes this is ridiculous	specific
What did we do to make you feel this way and how can we fix things between us? ^KMG	specific
is the worst ISP I’ve ever had	specific
In what area are you located? All of your services are down at this time? ^HSB	specific
. &gt;All of VERIZON IS DOWN&lt; When can we eect a fix ?	specific
Which app are you referring too? ^ACM	specific
fix your app it won't even open	specific
I still think you look great! -Becky	specific
Becky is very nice	specific
I don't fit in my Veggie Burrito costume	specific
I'm so sorry about that. Please tell us more so we can help: -Becky	specific
messed up today and didn’t give me my $3 burrito although I was dressed up	specific
Hopefully we'll get there at some point! -Becky	specific
hey wanna come to Mammoth. I'll at least eat there once a week i promise	specific
Guac on! I'm happy it was such a great eerience. -Becky	specific
I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!	specific
It's because you're smart. -Tara	specific
When you're the only one in costume	specific
That's incredibly concerning. Please tell us more here: -Becky	specific
